,placements,joueurs ,score ,,Mois concerné (Ne pas bouger de la premiere case),SQL insert (DONT TOUCH ANYTHING !!! PAS TOUCHE !!!)
Epic Quest,68,Umbrella,33 294 924,,,"INSERT INTO Has_Scored_On(Pinball_Id, Position, Player_Id, Score, Month_and_year) VALUES (( SELECT Id FROM Pinball WHERE Name ='Epic Quest'),68,(SELECT Id FROM Player WHERE Pseudo ='Umbrella'),33294924,'2024-12');"
Epic Quest,69,Adlegeek59 [Team Enhancer],32 999 793,,,"INSERT INTO Has_Scored_On(Pinball_Id, Position, Player_Id, Score, Month_and_year) VALUES (( SELECT Id FROM Pinball WHERE Name ='Epic Quest'),69,(SELECT Id FROM Player WHERE Pseudo ='Adlegeek59 [Team Enhancer]'),32999793,'2024-12');"
Epic Quest,70,luckeyslev,32 459 262,,,"INSERT INTO Has_Scored_On(Pinball_Id, Position, Player_Id, Score, Month_and_year) VALUES (( SELECT Id FROM Pinball WHERE Name ='Epic Quest'),70,(SELECT Id FROM Player WHERE Pseudo ='luckeyslev'),32459262,'2024-12');"
Epic Quest,71,Matzomek,31 558 202,,,"INSERT INTO Has_Scored_On(Pinball_Id, Position, Player_Id, Score, Month_and_year) VALUES (( SELECT Id FROM Pinball WHERE Name ='Epic Quest'),71,(SELECT Id FROM Player WHERE Pseudo ='Matzomek'),31558202,'2024-12');"
Epic Quest,72,SS77DOUBLE00,31 196 964,,,"INSERT INTO Has_Scored_On(Pinball_Id, Position, Player_Id, Score, Month_and_year) VALUES (( SELECT Id FROM Pinball WHERE Name ='Epic Quest'),72,(SELECT Id FROM Player WHERE Pseudo ='SS77DOUBLE00'),31196964,'2024-12');"
Epic Quest,73,Michelangelo,30 900 710,,,"INSERT INTO Has_Scored_On(Pinball_Id, Position, Player_Id, Score, Month_and_year) VALUES (( SELECT Id FROM Pinball WHERE Name ='Epic Quest'),73,(SELECT Id FROM Player WHERE Pseudo ='Michelangelo'),30900710,'2024-12');"
Epic Quest,74,SixxColt,30 459 524,,,"INSERT INTO Has_Scored_On(Pinball_Id, Position, Player_Id, Score, Month_and_year) VALUES (( SELECT Id FROM Pinball WHERE Name ='Epic Quest'),74,(SELECT Id FROM Player WHERE Pseudo ='SixxColt'),30459524,'2024-12');"
Epic Quest,75,schelmi 59,30 147 138,,,"INSERT INTO Has_Scored_On(Pinball_Id, Position, Player_Id, Score, Month_and_year) VALUES (( SELECT Id FROM Pinball WHERE Name ='Epic Quest'),75,(SELECT Id FROM Player WHERE Pseudo ='schelmi 59'),30147138,'2024-12');"
Epic Quest,76,Stewie-DBZ,29 183 981,,,"INSERT INTO Has_Scored_On(Pinball_Id, Position, Player_Id, Score, Month_and_year) VALUES (( SELECT Id FROM Pinball WHERE Name ='Epic Quest'),76,(SELECT Id FROM Player WHERE Pseudo ='Stewie-DBZ'),29183981,'2024-12');"
Epic Quest,77,RuboMontana,28 913 100,,,"INSERT INTO Has_Scored_On(Pinball_Id, Position, Player_Id, Score, Month_and_year) VALUES (( SELECT Id FROM Pinball WHERE Name ='Epic Quest'),77,(SELECT Id FROM Player WHERE Pseudo ='RuboMontana'),28913100,'2024-12');"
Epic Quest,78,flapsmojo57,28 579 281,,,"INSERT INTO Has_Scored_On(Pinball_Id, Position, Player_Id, Score, Month_and_year) VALUES (( SELECT Id FROM Pinball WHERE Name ='Epic Quest'),78,(SELECT Id FROM Player WHERE Pseudo ='flapsmojo57'),28579281,'2024-12');"
Epic Quest,79,Qiyamah,28 517 839,,,"INSERT INTO Has_Scored_On(Pinball_Id, Position, Player_Id, Score, Month_and_year) VALUES (( SELECT Id FROM Pinball WHERE Name ='Epic Quest'),79,(SELECT Id FROM Player WHERE Pseudo ='Qiyamah'),28517839,'2024-12');"
Epic Quest,80,GentleGiant,28 396 470,,,"INSERT INTO Has_Scored_On(Pinball_Id, Position, Player_Id, Score, Month_and_year) VALUES (( SELECT Id FROM Pinball WHERE Name ='Epic Quest'),80,(SELECT Id FROM Player WHERE Pseudo ='GentleGiant'),28396470,'2024-12');"
Epic Quest,81,Dr. Jan Itor,28 265 010,,,"INSERT INTO Has_Scored_On(Pinball_Id, Position, Player_Id, Score, Month_and_year) VALUES (( SELECT Id FROM Pinball WHERE Name ='Epic Quest'),81,(SELECT Id FROM Player WHERE Pseudo ='Dr. Jan Itor'),28265010,'2024-12');"
Epic Quest,82,Erlastor,28 239 633,,,"INSERT INTO Has_Scored_On(Pinball_Id, Position, Player_Id, Score, Month_and_year) VALUES (( SELECT Id FROM Pinball WHERE Name ='Epic Quest'),82,(SELECT Id FROM Player WHERE Pseudo ='Erlastor'),28239633,'2024-12');"
Epic Quest,83,V1ctorSalgado,28 124 784,,,"INSERT INTO Has_Scored_On(Pinball_Id, Position, Player_Id, Score, Month_and_year) VALUES (( SELECT Id FROM Pinball WHERE Name ='Epic Quest'),83,(SELECT Id FROM Player WHERE Pseudo ='V1ctorSalgado'),28124784,'2024-12');"
Epic Quest,84,TonyTomcatF14,28 095 915,,,"INSERT INTO Has_Scored_On(Pinball_Id, Position, Player_Id, Score, Month_and_year) VALUES (( SELECT Id FROM Pinball WHERE Name ='Epic Quest'),84,(SELECT Id FROM Player WHERE Pseudo ='TonyTomcatF14'),28095915,'2024-12');"
Epic Quest,85,Sheran U Odal,27 862 321,,,"INSERT INTO Has_Scored_On(Pinball_Id, Position, Player_Id, Score, Month_and_year) VALUES (( SELECT Id FROM Pinball WHERE Name ='Epic Quest'),85,(SELECT Id FROM Player WHERE Pseudo ='Sheran U Odal'),27862321,'2024-12');"
Epic Quest,86,sam1359,27 085 991,,,"INSERT INTO Has_Scored_On(Pinball_Id, Position, Player_Id, Score, Month_and_year) VALUES (( SELECT Id FROM Pinball WHERE Name ='Epic Quest'),86,(SELECT Id FROM Player WHERE Pseudo ='sam1359'),27085991,'2024-12');"
Epic Quest,87,Boyerwulf,26 463 270,,,"INSERT INTO Has_Scored_On(Pinball_Id, Position, Player_Id, Score, Month_and_year) VALUES (( SELECT Id FROM Pinball WHERE Name ='Epic Quest'),87,(SELECT Id FROM Player WHERE Pseudo ='Boyerwulf'),26463270,'2024-12');"
Epic Quest,88,jonny41,26 410 012,,,"INSERT INTO Has_Scored_On(Pinball_Id, Position, Player_Id, Score, Month_and_year) VALUES (( SELECT Id FROM Pinball WHERE Name ='Epic Quest'),88,(SELECT Id FROM Player WHERE Pseudo ='jonny41'),26410012,'2024-12');"
Epic Quest,89,Depatsfan64,25 964 396,,,"INSERT INTO Has_Scored_On(Pinball_Id, Position, Player_Id, Score, Month_and_year) VALUES (( SELECT Id FROM Pinball WHERE Name ='Epic Quest'),89,(SELECT Id FROM Player WHERE Pseudo ='Depatsfan64'),25964396,'2024-12');"
Epic Quest,90,cantSKANKerous,25 943 058,,,"INSERT INTO Has_Scored_On(Pinball_Id, Position, Player_Id, Score, Month_and_year) VALUES (( SELECT Id FROM Pinball WHERE Name ='Epic Quest'),90,(SELECT Id FROM Player WHERE Pseudo ='cantSKANKerous'),25943058,'2024-12');"
Epic Quest,91,rudik61,25 756 558,,,"INSERT INTO Has_Scored_On(Pinball_Id, Position, Player_Id, Score, Month_and_year) VALUES (( SELECT Id FROM Pinball WHERE Name ='Epic Quest'),91,(SELECT Id FROM Player WHERE Pseudo ='rudik61'),25756558,'2024-12');"
Epic Quest,92,BeyondAtlantis,25 739 846,,,"INSERT INTO Has_Scored_On(Pinball_Id, Position, Player_Id, Score, Month_and_year) VALUES (( SELECT Id FROM Pinball WHERE Name ='Epic Quest'),92,(SELECT Id FROM Player WHERE Pseudo ='BeyondAtlantis'),25739846,'2024-12');"
Epic Quest,93,Snowman-DSX,25 627 570,,,"INSERT INTO Has_Scored_On(Pinball_Id, Position, Player_Id, Score, Month_and_year) VALUES (( SELECT Id FROM Pinball WHERE Name ='Epic Quest'),93,(SELECT Id FROM Player WHERE Pseudo ='Snowman-DSX'),25627570,'2024-12');"
Epic Quest,94,dragon-lapin1,25 337 358,,,"INSERT INTO Has_Scored_On(Pinball_Id, Position, Player_Id, Score, Month_and_year) VALUES (( SELECT Id FROM Pinball WHERE Name ='Epic Quest'),94,(SELECT Id FROM Player WHERE Pseudo ='dragon-lapin1'),25337358,'2024-12');"
Epic Quest,95,Donald Trump QQ,25 264 367,,,"INSERT INTO Has_Scored_On(Pinball_Id, Position, Player_Id, Score, Month_and_year) VALUES (( SELECT Id FROM Pinball WHERE Name ='Epic Quest'),95,(SELECT Id FROM Player WHERE Pseudo ='Donald Trump QQ'),25264367,'2024-12');"
Epic Quest,96,Nerner6869,25 261 505,,,"INSERT INTO Has_Scored_On(Pinball_Id, Position, Player_Id, Score, Month_and_year) VALUES (( SELECT Id FROM Pinball WHERE Name ='Epic Quest'),96,(SELECT Id FROM Player WHERE Pseudo ='Nerner6869'),25261505,'2024-12');"
Epic Quest,97,Zen BirdMan,25 078 527,,,"INSERT INTO Has_Scored_On(Pinball_Id, Position, Player_Id, Score, Month_and_year) VALUES (( SELECT Id FROM Pinball WHERE Name ='Epic Quest'),97,(SELECT Id FROM Player WHERE Pseudo ='Zen BirdMan'),25078527,'2024-12');"
Epic Quest,98,MAgnumPeelEye,24 967 046,,,"INSERT INTO Has_Scored_On(Pinball_Id, Position, Player_Id, Score, Month_and_year) VALUES (( SELECT Id FROM Pinball WHERE Name ='Epic Quest'),98,(SELECT Id FROM Player WHERE Pseudo ='MAgnumPeelEye'),24967046,'2024-12');"
Epic Quest,99,Matt Beeching,24 922 937,,,"INSERT INTO Has_Scored_On(Pinball_Id, Position, Player_Id, Score, Month_and_year) VALUES (( SELECT Id FROM Pinball WHERE Name ='Epic Quest'),99,(SELECT Id FROM Player WHERE Pseudo ='Matt Beeching'),24922937,'2024-12');"
Epic Quest,100,cacaboudinus,24 875 546,,,"INSERT INTO Has_Scored_On(Pinball_Id, Position, Player_Id, Score, Month_and_year) VALUES (( SELECT Id FROM Pinball WHERE Name ='Epic Quest'),100,(SELECT Id FROM Player WHERE Pseudo ='cacaboudinus'),24875546,'2024-12');"
,,,,,,
Wild West Rampage,1,faacuromano,4 139 636 997,,,"INSERT INTO Has_Scored_On(Pinball_Id, Position, Player_Id, Score, Month_and_year) VALUES (( SELECT Id FROM Pinball WHERE Name ='Wild West Rampage'),1,(SELECT Id FROM Player WHERE Pseudo ='faacuromano'),4139636997,'2024-12');"
Wild West Rampage,2,gewy23,4 101 235 800,,,"INSERT INTO Has_Scored_On(Pinball_Id, Position, Player_Id, Score, Month_and_year) VALUES (( SELECT Id FROM Pinball WHERE Name ='Wild West Rampage'),2,(SELECT Id FROM Player WHERE Pseudo ='gewy23'),4101235800,'2024-12');"
Wild West Rampage,3,CpX_H4RD,4 074 997 389,,,"INSERT INTO Has_Scored_On(Pinball_Id, Position, Player_Id, Score, Month_and_year) VALUES (( SELECT Id FROM Pinball WHERE Name ='Wild West Rampage'),3,(SELECT Id FROM Player WHERE Pseudo ='CpX_H4RD'),4074997389,'2024-12');"
Wild West Rampage,4,ByKush24,2 314 406 014,,,"INSERT INTO Has_Scored_On(Pinball_Id, Position, Player_Id, Score, Month_and_year) VALUES (( SELECT Id FROM Pinball WHERE Name ='Wild West Rampage'),4,(SELECT Id FROM Player WHERE Pseudo ='ByKush24'),2314406014,'2024-12');"
Wild West Rampage,5,Speedzinn021,1 410 271 015,,,"INSERT INTO Has_Scored_On(Pinball_Id, Position, Player_Id, Score, Month_and_year) VALUES (( SELECT Id FROM Pinball WHERE Name ='Wild West Rampage'),5,(SELECT Id FROM Player WHERE Pseudo ='Speedzinn021'),1410271015,'2024-12');"
Wild West Rampage,6,KlismanN_Z,1 318 846 316,,,"INSERT INTO Has_Scored_On(Pinball_Id, Position, Player_Id, Score, Month_and_year) VALUES (( SELECT Id FROM Pinball WHERE Name ='Wild West Rampage'),6,(SELECT Id FROM Player WHERE Pseudo ='KlismanN_Z'),1318846316,'2024-12');"
Wild West Rampage,7,paturage-simien,450 525 888,,,"INSERT INTO Has_Scored_On(Pinball_Id, Position, Player_Id, Score, Month_and_year) VALUES (( SELECT Id FROM Pinball WHERE Name ='Wild West Rampage'),7,(SELECT Id FROM Player WHERE Pseudo ='paturage-simien'),450525888,'2024-12');"
Wild West Rampage,8,Beatminaz,448 847 079,,,"INSERT INTO Has_Scored_On(Pinball_Id, Position, Player_Id, Score, Month_and_year) VALUES (( SELECT Id FROM Pinball WHERE Name ='Wild West Rampage'),8,(SELECT Id FROM Player WHERE Pseudo ='Beatminaz'),448847079,'2024-12');"
Wild West Rampage,9,pezima77,404 703 590,,,"INSERT INTO Has_Scored_On(Pinball_Id, Position, Player_Id, Score, Month_and_year) VALUES (( SELECT Id FROM Pinball WHERE Name ='Wild West Rampage'),9,(SELECT Id FROM Player WHERE Pseudo ='pezima77'),404703590,'2024-12');"
Wild West Rampage,10,Jumbo_32,356 952 818,,,"INSERT INTO Has_Scored_On(Pinball_Id, Position, Player_Id, Score, Month_and_year) VALUES (( SELECT Id FROM Pinball WHERE Name ='Wild West Rampage'),10,(SELECT Id FROM Player WHERE Pseudo ='Jumbo_32'),356952818,'2024-12');"
Wild West Rampage,11,Michel Boulon [Team Boulon],290 043 217,,,"INSERT INTO Has_Scored_On(Pinball_Id, Position, Player_Id, Score, Month_and_year) VALUES (( SELECT Id FROM Pinball WHERE Name ='Wild West Rampage'),11,(SELECT Id FROM Player WHERE Pseudo ='Michel Boulon [Team Boulon]'),290043217,'2024-12');"
Wild West Rampage,12,AnkouDu44,259 790 007,,,"INSERT INTO Has_Scored_On(Pinball_Id, Position, Player_Id, Score, Month_and_year) VALUES (( SELECT Id FROM Pinball WHERE Name ='Wild West Rampage'),12,(SELECT Id FROM Player WHERE Pseudo ='AnkouDu44'),259790007,'2024-12');"
Wild West Rampage,13,OttOBuS,239 499 610,,,"INSERT INTO Has_Scored_On(Pinball_Id, Position, Player_Id, Score, Month_and_year) VALUES (( SELECT Id FROM Pinball WHERE Name ='Wild West Rampage'),13,(SELECT Id FROM Player WHERE Pseudo ='OttOBuS'),239499610,'2024-12');"
Wild West Rampage,14,Sergio10busi,237 410 403,,,"INSERT INTO Has_Scored_On(Pinball_Id, Position, Player_Id, Score, Month_and_year) VALUES (( SELECT Id FROM Pinball WHERE Name ='Wild West Rampage'),14,(SELECT Id FROM Player WHERE Pseudo ='Sergio10busi'),237410403,'2024-12');"
Wild West Rampage,15,Cave Canem @ Zerberus,220 217 217,,,"INSERT INTO Has_Scored_On(Pinball_Id, Position, Player_Id, Score, Month_and_year) VALUES (( SELECT Id FROM Pinball WHERE Name ='Wild West Rampage'),15,(SELECT Id FROM Player WHERE Pseudo ='Cave Canem @ Zerberus'),220217217,'2024-12');"
Wild West Rampage,16,M4nuel_Fazz,204 511 019,,,"INSERT INTO Has_Scored_On(Pinball_Id, Position, Player_Id, Score, Month_and_year) VALUES (( SELECT Id FROM Pinball WHERE Name ='Wild West Rampage'),16,(SELECT Id FROM Player WHERE Pseudo ='M4nuel_Fazz'),204511019,'2024-12');"
Wild West Rampage,17,Frank19620115,198 810 692,,,"INSERT INTO Has_Scored_On(Pinball_Id, Position, Player_Id, Score, Month_and_year) VALUES (( SELECT Id FROM Pinball WHERE Name ='Wild West Rampage'),17,(SELECT Id FROM Player WHERE Pseudo ='Frank19620115'),198810692,'2024-12');"
Wild West Rampage,18,Chros37,159 083 821,,,"INSERT INTO Has_Scored_On(Pinball_Id, Position, Player_Id, Score, Month_and_year) VALUES (( SELECT Id FROM Pinball WHERE Name ='Wild West Rampage'),18,(SELECT Id FROM Player WHERE Pseudo ='Chros37'),159083821,'2024-12');"
Wild West Rampage,19,el_marquez,158 101 120,,,"INSERT INTO Has_Scored_On(Pinball_Id, Position, Player_Id, Score, Month_and_year) VALUES (( SELECT Id FROM Pinball WHERE Name ='Wild West Rampage'),19,(SELECT Id FROM Player WHERE Pseudo ='el_marquez'),158101120,'2024-12');"
Wild West Rampage,20,PrimalScreamG,153 499 531,,,"INSERT INTO Has_Scored_On(Pinball_Id, Position, Player_Id, Score, Month_and_year) VALUES (( SELECT Id FROM Pinball WHERE Name ='Wild West Rampage'),20,(SELECT Id FROM Player WHERE Pseudo ='PrimalScreamG'),153499531,'2024-12');"
Wild West Rampage,21,aquatunq,150 667 588,,,"INSERT INTO Has_Scored_On(Pinball_Id, Position, Player_Id, Score, Month_and_year) VALUES (( SELECT Id FROM Pinball WHERE Name ='Wild West Rampage'),21,(SELECT Id FROM Player WHERE Pseudo ='aquatunq'),150667588,'2024-12');"
Wild West Rampage,22,Shrodingers God,146 439 190,,,"INSERT INTO Has_Scored_On(Pinball_Id, Position, Player_Id, Score, Month_and_year) VALUES (( SELECT Id FROM Pinball WHERE Name ='Wild West Rampage'),22,(SELECT Id FROM Player WHERE Pseudo ='Shrodingers God'),146439190,'2024-12');"
Wild West Rampage,23,BuffaloSLO,144 458 987,,,"INSERT INTO Has_Scored_On(Pinball_Id, Position, Player_Id, Score, Month_and_year) VALUES (( SELECT Id FROM Pinball WHERE Name ='Wild West Rampage'),23,(SELECT Id FROM Player WHERE Pseudo ='BuffaloSLO'),144458987,'2024-12');"
Wild West Rampage,24,The_Jack_1967089,140 664 844,,,"INSERT INTO Has_Scored_On(Pinball_Id, Position, Player_Id, Score, Month_and_year) VALUES (( SELECT Id FROM Pinball WHERE Name ='Wild West Rampage'),24,(SELECT Id FROM Player WHERE Pseudo ='The_Jack_1967089'),140664844,'2024-12');"
Wild West Rampage,25,PEDROCOSA,136 856 226,,,"INSERT INTO Has_Scored_On(Pinball_Id, Position, Player_Id, Score, Month_and_year) VALUES (( SELECT Id FROM Pinball WHERE Name ='Wild West Rampage'),25,(SELECT Id FROM Player WHERE Pseudo ='PEDROCOSA'),136856226,'2024-12');"
Wild West Rampage,26,bartocci10,135 492 331,,,"INSERT INTO Has_Scored_On(Pinball_Id, Position, Player_Id, Score, Month_and_year) VALUES (( SELECT Id FROM Pinball WHERE Name ='Wild West Rampage'),26,(SELECT Id FROM Player WHERE Pseudo ='bartocci10'),135492331,'2024-12');"
Wild West Rampage,27,cM-Nyood,132 164 113,,,"INSERT INTO Has_Scored_On(Pinball_Id, Position, Player_Id, Score, Month_and_year) VALUES (( SELECT Id FROM Pinball WHERE Name ='Wild West Rampage'),27,(SELECT Id FROM Player WHERE Pseudo ='cM-Nyood'),132164113,'2024-12');"
Wild West Rampage,28,AAmarkkitosKK,131 754 755,,,"INSERT INTO Has_Scored_On(Pinball_Id, Position, Player_Id, Score, Month_and_year) VALUES (( SELECT Id FROM Pinball WHERE Name ='Wild West Rampage'),28,(SELECT Id FROM Player WHERE Pseudo ='AAmarkkitosKK'),131754755,'2024-12');"
Wild West Rampage,29,hinterste_Nath,123 420 048,,,"INSERT INTO Has_Scored_On(Pinball_Id, Position, Player_Id, Score, Month_and_year) VALUES (( SELECT Id FROM Pinball WHERE Name ='Wild West Rampage'),29,(SELECT Id FROM Player WHERE Pseudo ='hinterste_Nath'),123420048,'2024-12');"
Wild West Rampage,30,TRIPEIRINHO81,124 996 982,,,"INSERT INTO Has_Scored_On(Pinball_Id, Position, Player_Id, Score, Month_and_year) VALUES (( SELECT Id FROM Pinball WHERE Name ='Wild West Rampage'),30,(SELECT Id FROM Player WHERE Pseudo ='TRIPEIRINHO81'),124996982,'2024-12');"
Wild West Rampage,31,treaded_upon,123 997 716,,,"INSERT INTO Has_Scored_On(Pinball_Id, Position, Player_Id, Score, Month_and_year) VALUES (( SELECT Id FROM Pinball WHERE Name ='Wild West Rampage'),31,(SELECT Id FROM Player WHERE Pseudo ='treaded_upon'),123997716,'2024-12');"
Wild West Rampage,32,SimeonT01,122 062 335,,,"INSERT INTO Has_Scored_On(Pinball_Id, Position, Player_Id, Score, Month_and_year) VALUES (( SELECT Id FROM Pinball WHERE Name ='Wild West Rampage'),32,(SELECT Id FROM Player WHERE Pseudo ='SimeonT01'),122062335,'2024-12');"
Wild West Rampage,33,Alfa_player01,121 153 406,,,"INSERT INTO Has_Scored_On(Pinball_Id, Position, Player_Id, Score, Month_and_year) VALUES (( SELECT Id FROM Pinball WHERE Name ='Wild West Rampage'),33,(SELECT Id FROM Player WHERE Pseudo ='Alfa_player01'),121153406,'2024-12');"
Wild West Rampage,34,jeromevilleneuve,117 873 582,,,"INSERT INTO Has_Scored_On(Pinball_Id, Position, Player_Id, Score, Month_and_year) VALUES (( SELECT Id FROM Pinball WHERE Name ='Wild West Rampage'),34,(SELECT Id FROM Player WHERE Pseudo ='jeromevilleneuve'),117873582,'2024-12');"
Wild West Rampage,35,xX NME77 Xx,117 831 386,,,"INSERT INTO Has_Scored_On(Pinball_Id, Position, Player_Id, Score, Month_and_year) VALUES (( SELECT Id FROM Pinball WHERE Name ='Wild West Rampage'),35,(SELECT Id FROM Player WHERE Pseudo ='xX NME77 Xx'),117831386,'2024-12');"
Wild West Rampage,36,Pelsiili,116 480 712,,,"INSERT INTO Has_Scored_On(Pinball_Id, Position, Player_Id, Score, Month_and_year) VALUES (( SELECT Id FROM Pinball WHERE Name ='Wild West Rampage'),36,(SELECT Id FROM Player WHERE Pseudo ='GrofZout'),116480712,'2024-12');"
Wild West Rampage,37,GrofZout,115 309 288,,,"INSERT INTO Has_Scored_On(Pinball_Id, Position, Player_Id, Score, Month_and_year) VALUES (( SELECT Id FROM Pinball WHERE Name ='Wild West Rampage'),37,(SELECT Id FROM Player WHERE Pseudo ='Voo'),115309288,'2024-12');"
Wild West Rampage,38,Voo,114 826 776,,,"INSERT INTO Has_Scored_On(Pinball_Id, Position, Player_Id, Score, Month_and_year) VALUES (( SELECT Id FROM Pinball WHERE Name ='Wild West Rampage'),38,(SELECT Id FROM Player WHERE Pseudo ='Mr Mr Electron'),114826776,'2024-12');"
Wild West Rampage,39,Mr Mr Electron,113 907 097,,,"INSERT INTO Has_Scored_On(Pinball_Id, Position, Player_Id, Score, Month_and_year) VALUES (( SELECT Id FROM Pinball WHERE Name ='Wild West Rampage'),39,(SELECT Id FROM Player WHERE Pseudo ='113717232'),113907097,'2024-12');"
Wild West Rampage,40,WimS [LUPsClub],113 717 232,,,"INSERT INTO Has_Scored_On(Pinball_Id, Position, Player_Id, Score, Month_and_year) VALUES (( SELECT Id FROM Pinball WHERE Name ='Wild West Rampage'),40,(SELECT Id FROM Player WHERE Pseudo ='113422507'),113717232,'2024-12');"
Wild West Rampage,41,lokiss88,113 422 507,,,"INSERT INTO Has_Scored_On(Pinball_Id, Position, Player_Id, Score, Month_and_year) VALUES (( SELECT Id FROM Pinball WHERE Name ='Wild West Rampage'),41,(SELECT Id FROM Player WHERE Pseudo ='111966657'),113422507,'2024-12');"
Wild West Rampage,42,zawadzki1971,111 966 657,,,"INSERT INTO Has_Scored_On(Pinball_Id, Position, Player_Id, Score, Month_and_year) VALUES (( SELECT Id FROM Pinball WHERE Name ='Wild West Rampage'),42,(SELECT Id FROM Player WHERE Pseudo ='110722368'),111966657,'2024-12');"
Wild West Rampage,43,Panoukilos123,110 722 368,,,"INSERT INTO Has_Scored_On(Pinball_Id, Position, Player_Id, Score, Month_and_year) VALUES (( SELECT Id FROM Pinball WHERE Name ='Wild West Rampage'),43,(SELECT Id FROM Player WHERE Pseudo ='110008236'),110722368,'2024-12');"
Wild West Rampage,44,meemo7878,110 008 236,,,"INSERT INTO Has_Scored_On(Pinball_Id, Position, Player_Id, Score, Month_and_year) VALUES (( SELECT Id FROM Pinball WHERE Name ='Wild West Rampage'),44,(SELECT Id FROM Player WHERE Pseudo ='109020828'),110008236,'2024-12');"
Wild West Rampage,45,Kastoueu,109 020 828,,,"INSERT INTO Has_Scored_On(Pinball_Id, Position, Player_Id, Score, Month_and_year) VALUES (( SELECT Id FROM Pinball WHERE Name ='Wild West Rampage'),45,(SELECT Id FROM Player WHERE Pseudo ='108295050'),109020828,'2024-12');"
Wild West Rampage,46,Trogenpro,108 295 050,,,"INSERT INTO Has_Scored_On(Pinball_Id, Position, Player_Id, Score, Month_and_year) VALUES (( SELECT Id FROM Pinball WHERE Name ='Wild West Rampage'),46,(SELECT Id FROM Player WHERE Pseudo ='107814754'),108295050,'2024-12');"
Wild West Rampage,47,O ABUTRE BR ,107 814 754,,,"INSERT INTO Has_Scored_On(Pinball_Id, Position, Player_Id, Score, Month_and_year) VALUES (( SELECT Id FROM Pinball WHERE Name ='Wild West Rampage'),47,(SELECT Id FROM Player WHERE Pseudo ='105281048'),107814754,'2024-12');"
Wild West Rampage,48,versonnen-Wurze,105 281 048,,,"INSERT INTO Has_Scored_On(Pinball_Id, Position, Player_Id, Score, Month_and_year) VALUES (( SELECT Id FROM Pinball WHERE Name ='Wild West Rampage'),48,(SELECT Id FROM Player WHERE Pseudo ='104244635'),105281048,'2024-12');"
Wild West Rampage,49,dokai-zen,104 244 635,,,"INSERT INTO Has_Scored_On(Pinball_Id, Position, Player_Id, Score, Month_and_year) VALUES (( SELECT Id FROM Pinball WHERE Name ='Wild West Rampage'),49,(SELECT Id FROM Player WHERE Pseudo ='104074245'),104244635,'2024-12');"
Wild West Rampage,50,pronged_gaming7,104 074 245,,,"INSERT INTO Has_Scored_On(Pinball_Id, Position, Player_Id, Score, Month_and_year) VALUES (( SELECT Id FROM Pinball WHERE Name ='Wild West Rampage'),50,(SELECT Id FROM Player WHERE Pseudo ='103547824'),104074245,'2024-12');"
Wild West Rampage,51,Rodrigonnes,103 547 824,,,"INSERT INTO Has_Scored_On(Pinball_Id, Position, Player_Id, Score, Month_and_year) VALUES (( SELECT Id FROM Pinball WHERE Name ='Wild West Rampage'),51,(SELECT Id FROM Player WHERE Pseudo ='102907338'),103547824,'2024-12');"
Wild West Rampage,52,muezino,102 907 338,,,"INSERT INTO Has_Scored_On(Pinball_Id, Position, Player_Id, Score, Month_and_year) VALUES (( SELECT Id FROM Pinball WHERE Name ='Wild West Rampage'),52,(SELECT Id FROM Player WHERE Pseudo ='102116310'),102907338,'2024-12');"
Wild West Rampage,53,XxChaiM79xX,102 116 310,,,"INSERT INTO Has_Scored_On(Pinball_Id, Position, Player_Id, Score, Month_and_year) VALUES (( SELECT Id FROM Pinball WHERE Name ='Wild West Rampage'),53,(SELECT Id FROM Player WHERE Pseudo ='101995783'),102116310,'2024-12');"
Wild West Rampage,54,souricimo,101 995 783,,,"INSERT INTO Has_Scored_On(Pinball_Id, Position, Player_Id, Score, Month_and_year) VALUES (( SELECT Id FROM Pinball WHERE Name ='Wild West Rampage'),54,(SELECT Id FROM Player WHERE Pseudo ='100505127'),101995783,'2024-12');"
Wild West Rampage,55,Mjz24cav,100 505 127,,,"INSERT INTO Has_Scored_On(Pinball_Id, Position, Player_Id, Score, Month_and_year) VALUES (( SELECT Id FROM Pinball WHERE Name ='Wild West Rampage'),55,(SELECT Id FROM Player WHERE Pseudo ='100433714'),100505127,'2024-12');"
Wild West Rampage,56,vn1700,100 433 714,,,"INSERT INTO Has_Scored_On(Pinball_Id, Position, Player_Id, Score, Month_and_year) VALUES (( SELECT Id FROM Pinball WHERE Name ='Wild West Rampage'),56,(SELECT Id FROM Player WHERE Pseudo ='100427444'),100433714,'2024-12');"
Wild West Rampage,57,Sawsuj,100 427 444,,,"INSERT INTO Has_Scored_On(Pinball_Id, Position, Player_Id, Score, Month_and_year) VALUES (( SELECT Id FROM Pinball WHERE Name ='Wild West Rampage'),57,(SELECT Id FROM Player WHERE Pseudo ='99244418'),100427444,'2024-12');"
Wild West Rampage,58,SGT_pederko,99 244 418,,,"INSERT INTO Has_Scored_On(Pinball_Id, Position, Player_Id, Score, Month_and_year) VALUES (( SELECT Id FROM Pinball WHERE Name ='Wild West Rampage'),58,(SELECT Id FROM Player WHERE Pseudo ='97530531'),99244418,'2024-12');"
